example_id,exclusion_reason,source_files
5a7221c955429971e9dc92b7,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a727bb95542991f9a20c48d,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a76059155429976ec32bce6,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a7626bd554299109176e678,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a76c13555429937353601a0,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a78bfd75542990784727753,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a7906f55542990784727792,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a7ccec9554299452d57ba72,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a7d20b055429909bec76973,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a7d231555429909bec76986,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a835bad5542996488c2e428,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a83cf395542996488c2e4e0,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a8634195542991e771815ba,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a8885b4554299206df2b2e4,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a8a35625542992d82986efd,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a8c94a25542995e66a47628,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a8ce5c7554299441c6b9f64,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5a8d69d6554299441c6b9fd6,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
