split,type,level,num_examples
train_dev,bridge,easy,11564
train_dev,bridge,hard,9952
train_dev,bridge,medium,36865
train_dev,comparison,easy,2771
train_dev,comparison,hard,2519
train_dev,comparison,medium,8559
train_heldout,bridge,easy,1415
train_heldout,bridge,hard,1242
train_heldout,bridge,medium,4581
train_heldout,comparison,easy,382
train_heldout,comparison,hard,347
train_heldout,comparison,medium,1139
train_pilot,bridge,easy,1487
train_pilot,bridge,hard,1257
train_pilot,bridge,medium,4628
train_pilot,comparison,easy,353
train_pilot,comparison,hard,344
train_pilot,comparison,medium,1042

