dataset,source_path,source_row_index,example_id,type,level,bucket,split
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,5,5a7e36045542991319bc9440,comparison,medium,88,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,18,5a83168855429966c78a6b2e,bridge,easy,81,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,31,5a7a02235542996c55b2dcd3,comparison,hard,85,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,39,5add28c85542992ae4cec4be,bridge,easy,81,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,60,5a7daae35542990b8f503a1d,comparison,hard,84,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,66,5a8514545542992a431d1ad2,bridge,medium,88,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,67,5ae3345f55429928c4239682,comparison,medium,81,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,71,5abf037a5542993fe9a41dbe,comparison,medium,81,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,73,5abcfc3b554299114383a1ad,bridge,medium,82,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,84,5ac2423755429951e9e684ff,bridge,medium,86,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,102,5ab6e84a554299710c8d1fab,bridge,hard,80,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,108,5a760f6855429976ec32bcf9,bridge,medium,83,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,110,5ab42ebd5542992339550047,bridge,medium,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,130,5a77bd595542995d83181291,comparison,medium,88,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,133,5ac12fda5542994d76dccdb0,bridge,hard,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,154,5a8a698255429930ff3c0dcf,bridge,medium,82,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,166,5ac23b6f55429951e9e684b4,bridge,medium,82,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,183,5ab90af655429916710eb0ec,bridge,medium,85,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,196,5a7f8a535542994857a76778,bridge,hard,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,202,5ae546be5542990ba0bbb251,bridge,medium,86,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,205,5a7cbd7c554299452d57b9e6,comparison,medium,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,227,5add57e35542992200553ac2,comparison,easy,87,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,232,5ae5e2285542996de7b71a5a,bridge,medium,83,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,253,5a88dbe95542993b751ca88f,bridge,medium,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,262,5ae42a195542995ad6573d0e,comparison,easy,85,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,265,5a7c75a655429935c91b51c4,bridge,medium,80,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,284,5a73589d55429901807dafd1,bridge,medium,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,296,5a7a8dab554299042af8f66a,bridge,easy,81,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,308,5a77365c55429972597f14a6,bridge,medium,85,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,330,5a7d52655542990b8f50397b,bridge,medium,88,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,345,5a84a6d95542997175ce1f12,bridge,medium,84,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,389,5ac274f55542990b17b153a5,bridge,hard,83,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,391,5a86fb525542991e771816a8,bridge,medium,81,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,403,5a721dff55429971e9dc928c,bridge,medium,82,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,423,5ab30cc755429976abd1bc3a,comparison,easy,86,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,440,5ab4280b554299233955003a,bridge,medium,84,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,476,5ac25c4a55429951e9e6857f,bridge,medium,86,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,488,5ab51c455542990594ba9d0a,comparison,medium,85,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,498,5abe37295542993f32c2a090,bridge,medium,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,499,5adf54605542993a75d264c6,comparison,medium,85,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,508,5a7ded525542990b8f503af2,bridge,hard,88,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,517,5a7b5e55554299042af8f755,comparison,hard,80,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,522,5ac39d02554299391541381e,bridge,medium,89,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,532,5a747efc55429929fddd8455,bridge,medium,86,train_pilot
hotpotqa,data/external/HotpotQA/distractor/train-00000-of-00002.parquet,541,5adef2be5542993a75d263b1,bridge,medium,87,train_pilot
